,StudentId,AssessmentGrade,GE-Grade,GE-Grade_MAX
1634,16516,5,-1.1,-1.1
1635,16517,5,-1.0,-1.0
1636,16522,5,-1.7,-1.7
1637,16523,5,-1.9,-1.9
1638,16524,5,-1.5,-1.5
1639,16528,5,-1.63333333333,-1.3
1640,16530,5,-1.5,-1.5
1641,16531,5,-1.6,-1.6
1642,16540,5,-1.6,-1.6
1643,16550,5,-2.1,-2.1
1644,16551,5,0.4,0.4
1645,16552,5,-0.5,-0.5
1646,16554,5,-2.4,-2.4
1647,16559,5,0.6,0.6
1648,16578,5,-3.0,-3.0
1649,16585,5,1.2,1.2
1650,16586,5,-0.6,-0.6
1651,16600,5,0.2,0.2
1652,16602,5,0.6,0.6
1653,16603,5,-0.6,-0.6
1654,16605,5,-0.8,-0.8
1655,16606,6,-1.75,-1.5
1656,16610,6,-2.3,-2.3
1657,16613,6,-4.5,-4.5
1658,16634,5,0.8,0.8
1659,16642,5,-2.0,-2.0
1660,16643,5,0.7,0.7
1661,16649,5,-1.8,-1.8
1662,16657,5,-2.6,-2.6
1663,16658,5,-2.1,-2.1
1664,16659,5,-3.8,-3.8
1665,16660,5,-2.1,-2.1
1666,16662,5,2.3,2.3
1667,16663,6,-0.9,-0.9
1668,16665,5,-2.5,-2.5
1669,16672,5,-2.9,-2.9
1670,16680,5,2.9,2.9
1671,16681,5,-0.1,-0.1
1672,16682,5,-0.4,-0.4
1673,16684,5,0.3,0.3
1674,16699,5,-1.9,-1.9
1675,16703,6,-1.3,-1.3
